City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
420,Nosy Varika,MG,75.69,clear sky,-20.5833,48.5333,Hotel Volazara
428,Soyo,AO,79.23,overcast clouds,-6.1349,12.3689,Hotel Mpampa
432,Lorengau,PG,83.43,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
438,Bitung,ID,84.2,scattered clouds,1.4451,125.1824,K2 Lembeh
439,Cam Ranh,VN,77.0,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
440,Labuhan,ID,82.02,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
442,Noumea,NC,77.0,heavy intensity rain,-22.2763,166.4572,Hôtel Le Lagon
446,Coolum Beach,AU,79.0,clear sky,-26.5333,153.1,Palmer Coolum Resort
450,Ambon,ID,86.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
454,Bowen,AU,87.8,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
457,Puerto Carreno,CO,82.44,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
458,Yeppoon,AU,82.4,scattered clouds,-23.1333,150.7333,Villa Mar Colina
460,Vinh Long,VN,77.0,few clouds,10.25,105.9667,Phuong Thao Homestay
461,Corn Island,NI,78.8,scattered clouds,12.1694,-83.0418,Big Fish Guest House
466,Matadi,CD,77.81,overcast clouds,-5.8167,13.45,Hotel Fortune
468,Mahina,PF,82.4,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
471,Vila Velha,BR,78.8,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
472,Kokopo,PG,80.04,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
474,Gizo,SB,83.59,light rain,-8.103,156.8419,Imagination Island
